firm,title,location,geo,daysAgo,effectiveDate,dateSource,datePosted,firstSeen,ats,url
Studios Architecture,Brian Pilot discusses the architectural design of The Zoe and its colorful glazed brick. Press,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://studios.com/careers/team/brian-pilot-discusses-the-architectural-design-of-the-zoe.html
Cannon Design,"Architect - Entry Level Mumbai, Maharashtra, India",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.cannondesign.com/careers/architect-entry-level-2
Cannon Design,"Architect II Chicago, Illinois, United States",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.cannondesign.com/careers/architect-ii-2613
Cannon Design,"Architect III San Francisco, California, United States",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.cannondesign.com/careers/architect-iii-2334
Cannon Design,"Architect III Houston, Texas, United States",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.cannondesign.com/careers/architect-iii-2101
Cannon Design,"Architect III Buffalo, New York, United States",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.cannondesign.com/careers/architect-iii
Cannon Design,"Architect IV San Francisco, California, United States",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.cannondesign.com/careers/architect-iv-2332
Array Architects,Interior DesignerPhiladelphia,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.paycomonline.net/v4/ats/web.php/portal/6BDE7C2178FCCAD134D2B70B46E59B37/jobs/73773
Array Architects,Senior Project ArchitectCharlestonEngineering,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.paycomonline.net/v4/ats/web.php/portal/6BDE7C2178FCCAD134D2B70B46E59B37/jobs/73878
Array Architects,Lead Project ArchitectPhiladelphiaEngineering,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.paycomonline.net/v4/ats/web.php/portal/6BDE7C2178FCCAD134D2B70B46E59B37/jobs/148756
NBBJ,"Architectural Designer Charlotte, North Carolina",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/oeo6wfwY
NBBJ,"Healthcare Project Architect Boston, Massachusetts",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/o8OnAfwD
NBBJ,"Intermediate Architectural Designer - Healthcare Practice Seattle, Washington",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/od4aAfwL
NBBJ,"Project Architect - Healthcare, Commercial Practices Los Angeles, California San Diego, California",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/okXpAfw0
NBBJ,"Project Architect, Healthcare Charlotte, North Carolina",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/oTw8zfwQ
NBBJ,"Project Architect/Manager Boston, Massachusetts",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/oDO5zfwP
NBBJ,"Senior Healthcare Project Architect Seattle, Washington",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/oG8LxfwQ
NBBJ,"Senior Project Architect Boston, Massachusetts",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/ogMnAfwJ
NBBJ,"Intermediate Designer - Corporate Commercial Practice Seattle, Washington",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/oRUaAfwf
NBBJ,"Intermediate Interior Designer Charlotte, North Carolina",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/oQqkAfwU
NBBJ,"Intermediate Interior Designer Boston, Massachusetts",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/opFTqfw7
NBBJ,"Intermediate Interior Designer New York, New York",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/o5N0zfwb
NBBJ,"Intermediate Interior Designer Seattle, Washington",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/okutvfww
NBBJ,"Senior Interior Designer New York, New York",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/oX4Mzfw6
NBBJ,"Senior Interior Designer New York, New York",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/owNUzfww
NBBJ,"Senior Interior Designer Charlotte, North Carolina",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/o9vkAfwi
NBBJ,"Senior Interior Designer Seattle, Washington Portland, Oregon",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/oGRKxfwy
NBBJ,"Architectural Project Manager Portland, Oregon",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobvite,https://jobs.jobvite.com/nbbj/job/okgswfwi
Zimmer Gunsul Frasca (ZGF),Senior Architect,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/OcZAkshUWE-senior-architect
Zimmer Gunsul Frasca (ZGF),Senior Interior Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/sBstMaaD0L-senior-interior-designer
Zimmer Gunsul Frasca (ZGF),Senior Interior Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/O7zjtNEyzk-senior-interior-designer
Zimmer Gunsul Frasca (ZGF),Senior Interior Technical Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/hF6lLS6Lsh-senior-interior-technical-designer
Zimmer Gunsul Frasca (ZGF),Mid-Level Interior Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/0UFKnaO40n-mid-level-interior-designer
Zimmer Gunsul Frasca (ZGF),Senior Architectural Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/7gFU7Ma1bt-senior-architectural-designer
Zimmer Gunsul Frasca (ZGF),Architectural Medical Planner,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/zd4cTGQzz6-architectural-medical-planner
Zimmer Gunsul Frasca (ZGF),Architectural Medical Planner,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/i6qYb0Yicd-architectural-medical-planner
Zimmer Gunsul Frasca (ZGF),Entry-Level Architect,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/p2CQ0zmZHr-entry-level-architect
Zimmer Gunsul Frasca (ZGF),Senior Landscape Architect | Project Manager,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/Itb0y3iKHH-senior-landscape-architect-project-manager
Zimmer Gunsul Frasca (ZGF),Architectural Medical Planner,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/rpPcVmV7OS-architectural-medical-planner
Zimmer Gunsul Frasca (ZGF),Senior Interior Architect/Interior Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/7cQslcol68-senior-interior-architect-interior-designer
Zimmer Gunsul Frasca (ZGF),Senior Healthcare Project Architect,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.zgf.com/careers/iUEt2WZsuU-senior-healthcare-project-architect
WSP USA,BIM Modeler - Digital Innovation,"Noida, Uttar Pradesh, India",foreign,0,2026-06-30,posted,2026-06-30,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89991
WSP USA,Senior Architect - Design,"Bengaluru, Karnataka, India",foreign,0,2026-06-30,posted,2026-06-30,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90004
WSP USA,Architect - Design,"Bengaluru, Karnataka, India",foreign,0,2026-06-30,posted,2026-06-30,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90003
WSP USA,Facade Designer,"Bengaluru, Karnataka, India",foreign,0,2026-06-30,posted,2026-06-30,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90009
WSP USA,"Early Professional, Architecture","Bengaluru, Karnataka, India",foreign,0,2026-06-30,posted,2026-06-30,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90014
WSP USA,Principal Architect,"Bengaluru, Karnataka, India",foreign,0,2026-06-30,posted,2026-06-30,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90112
WSP USA,Associate - Architecture,"Bengaluru, Karnataka, India",foreign,0,2026-06-30,posted,2026-06-30,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90119
Arcadis North America,"Constructief Bim manager/coördinatorRotterdam, Zuid-Holland, Netherlands + 3 moreBIMCompany PriorityPosted 6 days ago",,unknown,0,2026-06-30,firstSeen,,2026-06-30,eightfold (pw-fallback),https://jobs.arcadis.com/careers/job/563671531449515?domain=arcadis.com
Arcadis North America,"Technisch uitvoeringsbegeleider, Stations en ArchitectuurAmersfoort, Utrecht, Netherlands + 1 moreProject ManagementPosted 20 days ago",,unknown,0,2026-06-30,firstSeen,,2026-06-30,eightfold (pw-fallback),https://jobs.arcadis.com/careers/job/563671531613532?domain=arcadis.com
Elkus Manfredi,Interior Designer III,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://www.elkus-manfredi.com/job/interior-designer-iii/
