firm,title,fitScore,recency,postedDate,datePosted,location,ats,url
Gensler,Technical Designer - Retail & Hospitality - Mid Level,6,recent,2026-06-25,Posted 5 Days Ago,"Oakland, CA, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Technical-Designer---Lifestyle_R-17735
Gensler,Architect - Junior,6,recent,2026-06-25,Posted 5 Days Ago,"Santo Domingo, Dominican Republic",workday,https://gensler.wd1.myworkdayjobs.com/job/Santo-Domingo-Dominican-Republic/Architect---Junior_R-17961
Gensler,Architect - Interior Architecture,6,recent,2026-06-25,Posted 5 Days Ago,"Santo Domingo, Dominican Republic",workday,https://gensler.wd1.myworkdayjobs.com/job/Santo-Domingo-Dominican-Republic/Architect---Interior-Architecture_R-17929
Gensler,BIM Modelers – Critical Facilities,6,recent,2026-06-25,Posted 5 Days Ago,"Sydney, Australia",workday,https://gensler.wd1.myworkdayjobs.com/job/Sydney-Australia/BIM-Modelers---Critical-Facilities_R-17920
AECOM,Designer Mechanical- Wastewater,6,recent,2026-06-25,2026-06-25T03:57:15.861Z,"Mumbai, TIMES SQUARE, in",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134167969
WSP USA,"Designer, Cable Containment, Rail and Transit",6,recent,2026-06-25,2026-06-25,"Toronto, ON, Canada",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89581
WSP USA,BIM Engineer - Building Technology Systems,6,recent,2026-06-25,2026-06-25,"Bengaluru, Karnataka, India",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89719
WSP USA,Telecommunications Designer,6,recent,2026-06-25,2026-06-25,"Herndon, VA, United States",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89871
Gensler,BIM Operator – Critical Facilities,6,recent,2026-06-24,Posted 6 Days Ago,"Tokyo, Japan",workday,https://gensler.wd1.myworkdayjobs.com/job/Tokyo-Japan/BIM-Operator---Critical-Facilities_R-17930
AECOM,Designer Mechanical- Wastewater,6,recent,2026-06-24,2026-06-24T13:51:10.404Z,"Gurugram, HARYANA, in",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133957909
AECOM,"Control System Designer, Data Centers - Remote (U.S.)",6,recent,2026-06-24,2026-06-24T12:48:49.266Z,"Arlington, VA, us",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133940220
AECOM,Landscape Architect - Architecture,6,recent,2026-06-24,2026-06-24T08:06:19.383Z,"Bengaluru, KA, in",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133884999
WSP USA,Packaging & Material Handling System Designer,6,recent,2026-06-24,2026-06-24,"Meridian, ID, United States",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89236
WATG,Intermediate Designer,6,recent,2026-06-24,2026-06-24T17:35:10.345Z,Los Angeles,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=b70556f0-1366-4279-8a20-e6b60c4bc95b
Gensler,Designer - Retail & Hospitality - Mid Level,6,recent,2026-06-23,Posted 7 Days Ago,"Oakland, CA, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Designer---Lifestyle--Retail---Hospitality----Mid-Level_R-17800
Gensler,Project Architect –  Mid Level,6,recent,2026-06-23,Posted 7 Days Ago,"Newport Beach, CA, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Newport-Beach-CA-US/Project-Architect---Work---Mid-Level_R-17855
Gensler,Architect - Critical Facilities - Mid Level,6,recent,2026-06-23,Posted 7 Days Ago,"Kansas City, MO, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Kansas-City-MO-US/Architect---Critical-Facilities---Mid-Level_R-17942
Gensler,Architect - Mid Level,6,recent,2026-06-23,Posted 7 Days Ago,"San Antonio, TX, US",workday,https://gensler.wd1.myworkdayjobs.com/job/San-Antonio-TX-US/Architect---Mid-Level_R-17945
Gensler,BIM Modelers – Critical Facilities,6,recent,2026-06-23,Posted 7 Days Ago,"Bangkok, Thailand",workday,https://gensler.wd1.myworkdayjobs.com/job/Bangkok-Thailand/BIM-Modelers---Critical-Facilities_R-17903
Gensler,Technical Designer - Mid Level,6,recent,2026-06-23,Posted 7 Days Ago,"Bangalore, India",workday,https://gensler.wd1.myworkdayjobs.com/job/Bangalore-India/Technical-Designer---Mid-Level_R-17916
Gensler,Project Architect - Core & Shell,6,recent,2026-06-23,Posted 7 Days Ago,"Gurugram, India",workday,https://gensler.wd1.myworkdayjobs.com/job/Gurugram-India/Project-Architect---Core---Shell_R-17917
HOK,Project Architect,6,unknown,,,,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3541
HOK,Interiors - Architect,6,unknown,,,,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3507
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1354917&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364744&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364745&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364746&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Library Planner | Programmer | Architect,6,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3731264&req_loc=1364747&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer II,6,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3747450&req_loc=1371547&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Architect II,6,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3732013&req_loc=1348144&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer II,6,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3742485&req_loc=1364135&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Grimshaw,Intermediate Architect,6,unknown,,,,jobscore,https://careers.jobscore.com/careers/grimshawarchitects/jobs/intermediate-architect-ar9xg3BVXe2zXmjkK3K_AW
Grimshaw,Intermediate Architect,6,unknown,,,,jobscore,https://careers.jobscore.com/careers/grimshawarchitects/jobs/intermediate-architect-dO1BkcbTPhJj7fAcBTWvRB
Handel Architects,Designer,6,unknown,,,,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/53
Handel Architects,Project Architect/Designer,6,unknown,,,,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/52
